,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Microsoft
4.4",Data & Applied Scientist,"Redmond, WA","Microsoft 365 is a key part of the company’s cloud strategy and overall mission of empowering people and organizations to achieve more. As part of the customer journey to the cloud there are times when they need to reach out to seek help from Microsoft and that’s where our team steps in to make sure that the customer support experience is best in class. Our team is responsible for the entire admin and support ecosystem starting from the Microsoft admin portal (https://admin.microsoft.com), support entry point experience, AI driven self-help, diagnostics and making sure telemetry is readily available to all of engineering to continuously drive product improvements. Our team is full of people who have truly embraced a growth mindset, is not afraid to make mistakes, believes in doing and are obsessed about providing our customers the best support experience possible.

The data science team is engaged in building intelligent solutions using AI and ML that help in resolving customer issues. The team is looking for a talented Data Scientist who has a track record of delivering highly reliable and scalable cloud services while collaborating with other teams.
Responsibilities
Perform exploratory analysis to understand trends and patterns in data
Build Machine learning models to understand customer query intent
Build NLP tools to process and analyze customer queries
Collaborate with engineering teams to bring experimental ML models to production
Qualifications
Job qualifications:
Bachelor’s degree in Predictive Analytics, Statistics, Mathematics, Engineering, Operations Research, Computer Science or related technical discipline.
Minimum of 2 years of work experience in data modeling using R, Python or similar statistical package.
Minimum of 1 year of experience in one or more of the following: generalized linear models, regression models, ensemble models, resampling methods, model validation and testing, dimensionality reduction, and clustering.

Preferred Qualifications:
Masters degree is preferred.
Proficiency in using statistical computing languages for data analysis.
Expertise in predictive modeling using both supervised and unsupervised learning techniques.
Experience in data transformation with SQL, statistical programming languages.
Demonstrated Exploratory Analysis and Visualization abilities.
Experience in Natural Language Processing (NLP) and text processing methods/models.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
Show Less","$123,486 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD)
1,"UT Southwestern Medical Center
4.0",Data Scientist or Bioinformatician (remote),Remote,"Center Information:
The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has six faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.
Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)
Duties & Responsibilities: For bioinformatics scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.
At UTSW, there are great opportunities for scientists to collaborate with outstanding biomedical investigators and work on exciting research projects. UT Southwestern provides a friendly, dynamic, collaborative, and integrative research and training environment with state-of-the-art facilities.
Position Qualifications: Candidates should have a doctoral degree in either one of the following fields, including genetics/genomics, bioinformatics, computer science, biostatistics, computational biology or a related field. Programming skills in Python, Perl or R is preferred. Experience for deep learning is highly preferred for data scientist position.
Related websites:
QBRC: https://qbrc.swmed.edu/
Application Deadline: until filled
UT Southwestern Western Medical Center is an Affirmative Action/Equal Opportunity Employer. Women, minorities, veterans and individuals with disabilities are encouraged to apply.
Job Types: Full-time, Contract
Pay: $67,000.00 - $120,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible schedule
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Commission pay
Signing bonus
Education:
Doctorate (Preferred)
Experience:
Linux: 2 years (Preferred)
Work Location: Remote
Show Less","$93,500 /yr (est.)",10000+ Employees,Hospital,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD)
2,"Notion
4.9","Data Scientist, Growth","New York, NY","About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.
About The Role:
Notion’s mission is to make toolmaking ubiquitous. We are rapidly growing our business to empower every individual to build their own tools, block by block. The Growth Data Science team aims at accelerating product growth at every step of the user journey to ensure you get the best value out of Notion. As an early member of the growth data science team, you'll be instrumental in setting the roadmap for how these teams work together and then doing the hands-on work to execute against it. There will be significant variation from one day to the next, but whether you're exploring where we see the biggest opportunity to improve user experience, what a successful Notion account looks like, building out a core activity data set, or running experiments to evaluate the success of a key feature launch, you'll absolutely impact the development of Notion.
What You'll Achieve:
You will apply your expertise in statistical inference, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with Notion
You will dive into ambiguous areas, define problems and opportunities for the team to work on the next influential project
You'll design the right set of experiments or analyses to evaluate the success of new features
You'll partner closely with a product, engineering, and marketing pillar at every step of the development process, driving forward data science and analytics work in that area.
You'll work with your teams to determine both north star and operational metrics, and build and maintain the dashboards that those teams rely on for monitoring progress and making key decisions.
You'll influence your product roadmap by communicating your findings with the rest of the company, and driving and verifying change in our product and business. (Insights are useful. Impact is even better!)
Skills You'll Need to Bring:
You have spent meaningful time as a data scientist partnering with product, engineering and ideally with growth teams. You can draw on that experience to identify where data can have the most impact and clearly communicate to your partner teams what that impact is.
You are comfortable with ambiguity and uncertainty
You have expertise in SQL and at least one scripting language (ideally Python or R).
You know how to use statistical inference and experimentation to drive actionable recommendations.
You have experience building predictive models, and you know how to evaluate their effectiveness.
You are comfortable transforming raw data to build your own data sets if the measure you need doesn't exist yet.
You have a bias for using the right tools to get a job done with maximum efficiency. You have experience making tradeoffs between speed and accuracy.
Nice to Haves:
You have worked at a fast-growing start-up.
You have experience at a B2B SaaS company.
You have been a Technical Lead or Manager within Data Science teams previously
You have helped design processes that data science teams use to collaborate with their product and engineering peers.
You have a track record of acting as a thought partner to product or engineering leaders, driving strategic decisions on these teams using data.
We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.
Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please let your recruiter know.
#LI-Onsite
Show Less","$137,853 /yr (est.)",201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
3,"CODING DOJO INC
3.9",Coding Bootcamp Data Scientist (Virtual/Remote),Remote,"This is a full-time, virtual/remote position in the United States and associated time zones.

Are you a believer in the power of education, technology, and software development?
How about working for a company whose mission is to transform the world through digital literacy?
Coding Dojo is looking for a Data Scientist with the quantitative skills to match their entrepreneurial spirit. Here you will flex your skills in a company that recognizes your competency.
Responsibilities
Partner with executives, stakeholders, and decision-makers to understand their department goals / strategy and design / implement tools / insights to accelerate business
Deep-dive into available data sets to identify KPIs driving business growth / performance and derailers to success
Analyze our current intelligence framework to introduce improvements for increasing utility in Coding Dojo’s product and business data
Leverage industry best practices and emerging trends to design and build intelligence dashboards
Be a key contributor in driving innovation for the data team as well as maintain and improve our data analytics infrastructure
Upskill business stakeholders in data analytics best practices to create a self-service data culture.
Create user-friendly analytics products for departments to leverage
Work closely with the Head of Data / Analytics to shape strategy, introduce new tools, and create the required structure for Coding Dojo to scale effectively
Core Competencies
Experience in statistical/predictive modeling techniques and principles using languages/statistical software such as MATLAB, Stata, R, SAS, or Python
Proficiency in Excel (=index(match), VLOOKUP, creating pivot tables, etc.)
High attention to detail and accuracy and strong analytical skills
Strong understanding of end-to-end business functions and systems / tools to proactively mine data / generate solutions for teams to explore
Strong SQL skills, capable of complex, efficient, and maintainable SQL to accomplish data analysis goals. A major plus if you have hands-on experience in building and managing data transformation (experience with DBT a plus)
Experience with a data visualization tool (i.e. Looker, Tableau)
Experience with cloud data warehouse technologies (Snowflake is a plus).
Able to communicate technical concepts/analyses to non-technical stakeholders effectively
Driven by logical and analytical thinking to solve problems and have an eye for detail-oriented analysis and design.
Functional knowledge of financial, sales, or other core business metrics
Certification in data science, analytics (preferred, not required)
Minimum Requirements
Bachelor’s degree in Computer Science, Data Science, Mathematics, Statistics, or other related STEM discipline
3 years in a related role (e.g. Data Analyst, Business Intelligence Manager, Data Engineer):
Minimum of 3 years of SQL experience
Minimum of 3 years of Python
Tangible experience with ETL or ELT for data (extract, transform, load) or (extract, load, transform) with a preference for the latter
Experience managing / implementing systems in concert with data analysis / modeling (e.g. cloud computing, Data Visualization tools (Tableau, Looker, etc.), managing a data pipeline (Databricks), or databases: Snowflake, MongoDB, SQL servers)
Experience using Git or other version control system in a team setting
Benefits
Competitive salary + benefits package
Diverse work culture
Healthy work/life balance (monthly “Wellness Days” off + “No Meeting” days + numerous holidays)
Be a part of the mission to diversify the tech industry
About Coding Dojo
Coding Dojo is a global education technology company that offers a three full-stack computer programming Bootcamp, as well as courses on Data Science and other emerging technologies. Our innovative curriculum and Learning Management System is designed to train students to become self-sufficient developers, regardless of their technical background. We also make it our mission to support underserved communities and increase diversity in the tech industry.
This position is a rare opportunity to join a rapidly growing company and make a positive impact in many people's lives. At Coding Dojo we pride ourselves on possessing a culture of execution that caters to wavemakers rather than wave riders. If you are interested in joining a diverse and dynamic team who values speed, continuous improvement, measurement, focus, accountability, and “attacking the gap”, you will feel right at home at Coding Dojo.
Coding Dojo is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information. Coding Dojo is committed to providing access, equal opportunity, and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities.
Show Less",#N/A,51 to 200 Employees,Company - Private,Education,Education & Training Services,2013,$5 to $25 million (USD)
4,Net2Aspire0,Jr. Data Scientist,Remote," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time
Job Types: Full-time, Part-time, Contract
Salary: $65,000.00 - $80,000.00 per year
Benefits:
401(k)
Health insurance
Schedule:
8 hour shift
Monday to Friday
Experience:
Data science: 1 year (Required)
Machine learning: 1 year (Required)
Work Location: Remote
Show Less","$72,500 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
5,Ntropy Network0,Data Scientist,Remote,"Over the last few decades, technological innovation has relied on democratizing some of its key ingredients: knowledge (open publishing platforms), algorithms (code repositories) and computing (cloud providers). However, the last key component, data, largely remains trapped behind barriers of regulation, privacy, schema standards and competitive risk. Enabling scalable access to data will unlock enormous value for both individual developers and companies. This has only been made possible in the last few years, through advances in manifold learning algorithms and privacy-preserving computing. See our blog for more details.

One of the most valuable kinds of data today is in the financial sector. Financial data plays a key role across many industry verticals. However, it has notoriously been locked behind regulatory barriers and a lack of format standards. Our end product is an API that makes financial transactions accessible to both humans and machine-learning models, in a scalable and privacy-preserving way.

We
- come from various fields - engineering, mathematics, physics and arts.
- are allergic to over-engineering.
- are anarchists at heart and like to hack around the status quo.
love playing board and video games.
- are radically honest and appreciate challenging one another, rather than giving out “pats on the back”. Yet, we can always rely on each other for support, feedback and results.
- are willing to learn and adapt quickly to new situations and requirements. Languages, frameworks, libraries, compilers, etc. are just tools for a job. A new problem might need a new tool. If it doesn’t exist yet, we will build it.
- have a sense of humor (well, we think we do).

As an early member of our data science team, you will help
- push the limits of what can be done with data.
- build the team and drive the direction of the company.
- shape our product and culture.
- experience the direct impact of what you build on hundreds of millions of people’s financial lives.

The following are required
- the tools: Python, Pandas / Polars, Matplotlib, sklearn, etc.
SQL and fundamental database operations.
- recognized open-source contributions and/or top performance in data competitions (Kaggle, Numerai, etc.).
fluency in statistics and probability.

FAQ

What if I recommend someone who ends up getting hired?

We will give you 20k USD for the referral.

Where is Ntropy located?

We are fully remote, with a virtual base in New York, US.

What time-zones do you work with?

We hire anywhere in GMT-7 to GMT+1.

Do you consider part-time work?

Not at the moment. Full-time roles only.

How are you funded?

We are backed by some of the top fintech investors in the world. Have raised single-digit millions of dollars so far. Can share more details over the call.

Do you already have a product and customers?

Yes. We have been in production since 1st April 2021 and have been rapidly growing since.

Do you plan to sell customer data?

Ntropy is on a mission to enable products without data barriers. We will never sell customer data and will always put privacy and customer benefit ahead of any auxiliary financial gains.

What is the interview process like?

1. Send us problems you have solved before and how. Please include as much detail as possible: code, algorithms, derivations, proofs, etc. We will then do a video call to kick things off and go through it (45 mins).

2. We will give you a take-home project related to whatever we are currently working on (3-4 hours). Alternatively, if you have a relevant project that you worked on previously that demonstrates your skills as an engineer, you are welcome to use that instead.

3. We will then do a deep-dive through the project over a call and discuss the implementation, improvements and bottlenecks.

Above all, we respect your time and commitment and will keep you up to speed on where we are at during the whole process.

What are your hiring plans?

We aim to be 30-40 people by the end of the year. Mostly engineering roles.

What is your current stack?

back-end - Python + Rust (where performance matters)
compute - AWS, GCP
ML - PyTorch, ONNX, Triton

Work / life balance?

We are a startup which requires you to put in a lot more work and soul than a regular job. We believe, however, that nothing easy is worth doing. We will expect a lot from you, and you should expect a lot from us.

What is the compensation?

$130k-180k • 0.15% - 0.15%
Show Less","$155,000 /yr (est.)",1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
6,"PayPal
4.0",Data Scientist,"Chicago, IL","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: As a Data Scientist at PayPal, you will apply your strategic data and analytical skills to solve major risk challenges in the Large Enterprise Seller Risk Organization
Job Description:
As a Data Scientist at PayPal, you will apply your strategic and analytical skills to solve major risk challenges. You will act as a risk consultant to drive recommendations and implement solutions that ultimately impact the top and bottom lines. And you will do it all by collaborating with a global team of colleagues across sales, operations, product, data science, and finance in an environment that values your risk domain and data expertise, encourages you to take on new responsibility, promotes continuous learning, and rewards innovation.
Your Day-to-day Will Involve
Using modeling and analytics to understand how risk decisions impact our top and bottom lines. This will include assessing risks of new/existing products, determining risk policies, or identifying inefficiencies in existing risk operations.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to monitor portfolio performance and identify improvement opportunities
Developing hypotheses and set up your own problem frameworks to test for the best solutions. You will also scope the operational feasibility, lead implementation efforts, and monitor the success of your solutions.
Leveraging data analysis tools and technologies. For example, using machine learning to determine how we identify and mitigate risk on the platform.
Creating new solutions rooted in empathy and research that assist all customers as they work to better manage their finances.
Collaborating in a team environment. As part of our crew, you will learn to energetically rally diverse groups in pursuit of a common goal.
The Ideal Candidate Is
Innovative & Curious - You have the desire and ability to connect and empathize with our customers. You have an entrepreneurial spirit and get excited about creating new businesses and reinventing current ones. You ask why, explore, and bring your unique perspective to the table.
Analytical & Action-Oriented - You are data driven and outcome focused. You grow comfortable with ambiguity, fueled by a hunger to learn and constantly seeking out new challenges. You have a desire to take action, try new things, and sometimes fail. You persevere but know when to change course and are up for juggling multiple deliverables.
Collaborative & Team-Oriented - You always keep the people around you in the loop and are excited to communicate complex ideas clearly to make sure your co-workers understand the “why” behind their work and their key priorities.
Inclusive - You will empathize with those around you and care about their success, as you bring people together around what’s possible.
Basic Qualifications
Bachelor’s degree or higher in a quantitative field (Business, Math, Economics, Finance, Statistics, Science, Engineering)
Minimum of 2-3 years of experience in the risk domain associated with payments, fintech, banking or the ecommerce industry
Experience with technical tools such as SQL, Python, Tableau
Our Benefits:

At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:

To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
Start your job application: click Apply Now
Show Less","$109,837 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
7,"Pomeroy Technologies, LLC.
2.8",Data Scientist,Remote,"Data Scientist--Remote
(company is based in the Greater Atlanta area)
Responsibilities
Understands the company’s vision, mission, and strategy; understands business unit objectives and sets/accomplishes individual performance goals accordingly.
Mine current data assets and connect sales, product, pricing, and rebate databases
Incorporate supplemental data such as lost order data and overrides to develop a holistic view of the sales/pricing process
Analyze business transactions for trends
Define and implement ERP data transfer automation
Develop pre vs post impact tracking
Build intuitive dashboards
Work with third party pricing software companies and pricing consultants
Qualifications
3-5 years of helping businesses succeed by using data science and advanced analytics
Master’s degree in statistics, mathematics, computer science, engineering or similar quantitative field
Continuous Improvement, Lean 6 Sigma certifiactions
Job Type: Full-time
Pay: From $110,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Bonus pay
Work Location: Remote
Show Less","$110,000 /yr (est.)",1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,1982,Unknown / Non-Applicable
8,"Delta
4.3","Associate Data Scientist, Operations Decision Science","Atlanta, GA","United States, Georgia, Atlanta
Ops Control
25-Oct-2022
Ref #: 17979
How you'll help us Keep Climbing (overview & key responsibilities)
Delta Air Lines connects the world by flying 180 million customers to 300+ destinations every year. At Operations Decision Science (ODS), we build and deploy data science and predictive modeling tools to support this complex operation. ODS currently seeks an Associate Data Scientist to develop insights, machine learning models, and solutions aimed at continually improving airline performance and decision making. Join our team to make a real-world impact by developing ML/AI solutions to deliver the best air travel experiences.
An appropriate candidate will have hands-on experience in machine learning, statistical analysis, and data storytelling. The candidate should have good organizational and communication skills and feel comfortable in a fast-paced environment.
Primary Functions:
Work within a team of data scientists to develop advanced analytics solutions for complex business problems
Collect data and perform explanatory data analysis
Present analysis to business users in a digestible way
Learn new techniques within cloud-based platforms

What you need to succeed (minimum qualifications)
Bachelor's degree with 1-2 years of experience in Data Science, Statistics, Mathematics, Operations Research, Computer Science, or equivalent combination of education and experience
Proficiency in working with relational databases (SQL)
Working knowledge of Machine Learning techniques (Python, SciKit Learn, R, SAS or other machine learning platforms)
Good written, oral communication, and interpersonal skills
Must be performing satisfactorily in present position
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Demonstrates that privacy is a priority when handling personal data.
Embraces a diverse set of people, thinking and styles.
Consistently makes safety and security, of self and others, the priority.
What will give you a competitive edge (preferred qualifications)
Master's Degree preferred
< Go back
Show Less","$103,268 /yr (est.)",10000+ Employees,Company - Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",1928,$10+ billion (USD)
9,"Booz Allen Hamilton
4.2","Tech Excellence Data Scientist, Junior","Alexandria, VA","The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As an aspiring data scientist, you know you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection to cancer research to national intelligence — you see data scientists turning data into actions and you want to be part of the team.

We have an opportunity for you to develop your analytical skills and establish your career in data science. You’ll join a rigorous training program that combines skills assessments, a comprehensive curriculum, functional mentorship, a capstone analytic challenge, and support to place you on your first data science project. You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends, apply machine learning to train predictive models, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers that inform decisions. You’ll learn how to develop, implement, and support the usage of data visualization, configuration, deployment, and usage. Apply advanced consulting skills and extensive technical expertise in data visualization and storytelling and possess a full industry knowledge of tools and techniques to support the development and delivery of impactful data models and data visualizations. Equipped with the foundational data science skills to accelerate your career, you’ll join a team and apply those skills to support our clients’ critical national security missions. Embrace the challenge and join us in driving change through data science. This position is a hybrid role with a combination of working at a Booz Allen office or client site and working remotely.
Empower change with us.
You Have:
Experience with a programming language, including SQL, Python, or R
Experience with querying or analyzing data to answer questions and solve problems
Experience with Microsoft Excel
Knowledge of basic concepts in Mathematics and Statistics
Secret clearance
Bachelor's degree
Nice If You Have:
Experience with Tableau, Qlik, Power BI or other data visualization tools
Ability to learn a programming language
Ability to work in the cloud computing environment
Ability to work effectively in a collaborative team environment
Ability to pursue a career in data science
Bachelor's degree in Data Science, Mathematics, Engineering, Physics, Statistics, or Computer Science
Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.
Compensation:
At Booz Allen, we celebrate your contributions, provide you with opportunities and choice, and support your total well-being. Our comprehensive benefit offerings include healthcare, retirement plan, insurance programs, commuter program, employee assistance program, paid and unpaid leave programs, education assistance, and childcare benefits.
The salary for this position will be determined based on various factors. The proposed salary range for this position in Colorado is 80,000 to 90,000.
Build Your Career:
At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you’ll have the chance to:
access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk
change the world with the Data Science Bowl—the world’s premier data science for social good competition
participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government

You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want as you chart your own course for success.
We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law.
Apply Now: click Apply Now
Show Less","$102,817 /yr (est.)",10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD)
